Subject	Choose	Avoid	Length
10001	0.8125	0.875	720
10002	0.9375	0.875	60
10003	0.8125	0.75	240
10004	0.625	0.5625	60
10005	0.5625	0.6875	720
10006	0.8125	0.75	480
10007	0.625	0.625	360
10008	0.75	1	120
10009	1	1	240
10010	0.875	0.625	240
10011	0.5	0.875	120
10012	0.5	0.6875	120
10013	0.6875	0.875	240
10014	1	0.8125	240
10015	0.75	0.6875	120
10016	0.625	0.75	720
10017	0.5625	0.625	120
10018	0.0625	1	120
10019	0.5625	0.5625	120
10020	0.9375	0.8125	720
10021	1	0.25	720
10022	0.0625	0.5	720
10023	0.75	0.75	120
10024	0.125	0.5625	600
10025	0.625	0.5	720
10026	0.5	0.6875	360
10027	1	0.625	360
10028	0.4375	0.6875	360
10029	0.6875	0.75	720
10037	0.75	0.6875	240
10038	1	0.5	720
10039	0.6875	0.5	240
10040	0.625	0.6875	720
10041	0.625	0.8125	120
10042	0.8125	0.4375	600
10043	0	0.4375	120
10045	1	0.9375	360
10046	0.6875	0.4375	360
10047	0.6875	0.3125	120
10048	0.375	0.4375	720
10049	0.375	0.3125	360
10050	0.375	0.375	360
10051	0.625	0.8125	240
10052	0.875	0.6875	120
10053	0.9375	0.3125	240
10054	1	0.5	120
10056	0.75	0.75	480
10072	0.5625	1	360
10073	1	1	240
10074	0.0625	0.3125	600
10075	0.8125	0.5	240
10076	0.625	0.6875	360
10082	1	0.5	120
10083	0.75	0.9375	720
10084	1	0.75	240
10085	1	0.625	120
10088	0.5	0.5	720
10089	0.875	0.3125	600
10090	0.9375	0.875	240
10091	0.5	0.6875	120
10093	0.9375	0.3125	240
10095	0.25	0.875	480
10097	0.8125	0.875	720
10098	0.625	0.5	360
10099	0.9375	0.5625	240
10101	0.9375	0.5625	120
10102	0.125	0.1875	720
10103	0.9375	0.625	360
10104	0.375	0.9375	120
10106	0.75	0.25	120
10107	0.4375	0.5625	120
10108	0.9375	1	480
10109	0.4375	0.75	120
10110	0.375	0	720
10111	0.9375	0.8125	120
10112	1	1	360
10113	0.75	0.625	720
10114	0.875	0.4375	720
10115	0.5	0.625	120
10116	0.6875	0.625	120
10117	0.875	0.3125	180
10118	0.625	0.875	240
10119	0.6875	1	720
10120	0.5625	0.9375	240
10121	0.9375	0.625	240
10122	1	0.8125	120
10123	0.875	0.875	360
10124	0.625	0.9375	480
10125	0.5	0.6875	600
10126	0.5	0.9375	120
10127	0.6875	1	120
10128	0.375	0.5	360
10129	0.9375	1	120
10130	0.875	1	120
10131	0.5625	0.6875	360
10132	0.9375	1	240
10133	0.875	0.75	120
10134	0.375	0.6875	720
10135	1	1	120
10136	0.75	0.8125	240
10138	0.6875	0.3125	120
10139	0.875	1	360
10140	0.3125	0.5625	60
10141	0.875	0.5	720
10142	0.9375	0.9375	120
10143	0.5625	0.4375	480
10144	0.8125	0.9375	720
10145	0.875	0.75	240
10146	0.5625	0.625	120
10147	1	0.125	720
10148	0.75	0.125	720
10149	0.625	0.5625	120
10150	0.5625	0.875	120
10151	0.375	0.8125	120
10152	0.375	1	600
10153	0.75	0.3125	120
10154	0.6875	0.5	120
10155	0.625	0.9375	120
10158	0.6875	0.875	120
10163	0.9375	0.875	120
10164	0.4375	0.875	360
10165	0.625	0.625	120
10168	0.5625	0.6875	360
10169	0.5625	0.5625	720
10172	0.5625	0.375	120
10174	0.875	1	480
10175	0.9375	0.8125	480
11013	0.9375	0.6875	600
11014	0.5	0.6875	600
11016	0.8125	0.875	600
11017	0.9375	0.6875	720
11019	0.125	0.875	240
11023	0.5	0.375	720
11024	0.9375	0.9375	360
11026	0.5	0.875	240
11027	0.1875	0.5625	240
11028	0.75	0.4375	360
11029	0	0	720
11031	0.375	0.75	240
11034	0.5	0.5625	360
11036	0.75	0.6875	120
11038	0.5	0.75	120
11039	0.6875	1	120
11040	0.8125	0.75	240
11043	0.375	0.875	360
11046	0.75	1	360
11047	0.4375	0	240
11050	0.375	0.875	720
11052	0.8125	0.75	120
11053	0.375	0.5	720
11054	0.8125	0.6875	720
11055	0.25	0.375	360
11056	1	0.8125	240
11058	0.3125	0.8125	720
11059	0.9375	0.625	120
11064	0.8125	0.8125	120
11065	0.625	0.5625	360
11066	1	0.9375	120
11069	0.625	0.75	480
11070	0.625	0.5	240
11075	0.75	0.8125	240
11076	0.5	1	240
11077	0.9375	0.1875	480
11079	0.75	0.8125	120
11081	0.75	0.8125	360
11082	0.5	0.5	720
11083	0.5	0.25	480
11084	0.875	0.25	240
11100	0.8125	1	120
11101	1	0.875	240
11103	0.75	1	240
11105	0.75	0.9375	120
11106	0.8125	0.9375	720
11107	0.8125	1	240
11109	0.9375	0.5	240
11110	0.4375	0.75	360
12001	0.5	0.5	720
12002	0.5	0.875	120
12003	0.875	0.9375	120
12004	0.4375	0.5625	720
12008	0.875	0.875	240
12009	0.5	0.75	360
12020	0.625	0.5625	600
12022	0.5	0.9375	120
12029	0.9375	0.6875	120
12036	0.5625	0.4375	720
12072	0.375	0.875	360
12073	1	0.125	120
12095	0.9375	0.75	240
12155	0	0.125	720
12157	0.6875	0.625	240
