Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12177,C,1,1,1,instructions,None,57,SPACE,stroop3.txt,6238,TRUE,
12177,C,1,2,2,practice,GREEN,0,Voice Response,BLUE,1233,TRUE,
12177,C,1,3,3,practice,RED,0,Voice Response,YELLOW,3422,TRUE,
12177,C,1,4,4,practice,YELLOW,0,Voice Response,GREEN,981,TRUE,
12177,C,1,5,5,practice,BLUE,0,Voice Response,RED,846,TRUE,
12177,C,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,1105,TRUE,
12177,C,1,7,7,practice,BLUE,0,Voice Response,GREEN,921,TRUE,
12177,C,1,8,8,practice,YELLOW,0,Voice Response,RED,849,TRUE,
12177,C,1,9,9,practice,GREEN,0,Voice Response,GREEN,852,TRUE,
12177,C,1,10,10,practice,RED,0,Voice Response,BLUE,818,TRUE,
12177,C,1,11,11,practice,BLUE,0,Voice Response,XXXXX,849,TRUE,
12177,C,1,12,12,instructions,None,57,SPACE,stroop4.txt,66688,TRUE,
12177,C,1,1,13,Neutral,BLUE,0,Voice Response,XXXXX,1004,TRUE,
12177,C,1,2,14,Conflict,RED,0,Voice Response,GREEN,914,TRUE,
12177,C,1,3,15,Conflict,BLUE,0,Voice Response,YELLOW,923,TRUE,
12177,C,1,4,16,Conflict,GREEN,0,Voice Response,BLUE,846,TRUE,
12177,C,1,5,17,NegativePrime,BLUE,0,Voice Response,RED,922,TRUE,
12177,C,1,6,18,Conflict,GREEN,0,Voice Response,YELLOW,915,TRUE,
12177,C,1,7,19,Conflict,GREEN,0,Voice Response,RED,903,TRUE,
12177,C,1,8,20,Conflict,BLUE,0,Voice Response,YELLOW,835,TRUE,
12177,C,1,9,21,Conflict,RED,0,Voice Response,GREEN,849,TRUE,
12177,C,1,10,22,Conflict,BLUE,0,Voice Response,RED,849,TRUE,
12177,C,1,11,23,NegativePrime,RED,0,Voice Response,GREEN,968,TRUE,
12177,C,1,12,24,Conflict,RED,0,Voice Response,BLUE,842,TRUE,
12177,C,1,13,25,NegativePrime,BLUE,0,Voice Response,YELLOW,857,TRUE,
12177,C,1,14,26,Conflict,RED,0,Voice Response,GREEN,854,TRUE,
12177,C,1,15,27,NegativePrime,GREEN,0,Voice Response,BLUE,915,TRUE,
12177,C,1,16,28,Neutral,GREEN,0,Voice Response,XXXXX,857,TRUE,
12177,C,1,17,29,Conflict,RED,0,Voice Response,YELLOW,857,TRUE,
12177,C,1,18,30,NegativePrime,YELLOW,0,Voice Response,BLUE,906,TRUE,
12177,C,1,19,31,Neutral,YELLOW,0,Voice Response,XXXXX,916,TRUE,
12177,C,1,20,32,Conflict,YELLOW,0,Voice Response,RED,847,TRUE,
12177,C,1,21,33,NegativePrime,RED,0,Voice Response,BLUE,863,TRUE,
12177,C,1,22,34,Neutral,YELLOW,0,Voice Response,XXXXX,869,TRUE,
12177,C,1,23,35,Neutral,BLUE,0,Voice Response,XXXXX,789,TRUE,
12177,C,1,24,36,Neutral,GREEN,0,Voice Response,XXXXX,915,TRUE,
12177,C,1,25,37,Conflict,GREEN,0,Voice Response,RED,908,TRUE,
