Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
11002,1,1,1,1,instructions,None,252,MOUSE-L,stroop3.txt,17532,FALSE,
11002,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,2760,TRUE,
11002,1,1,3,3,practice,RED,0,Voice Response,YELLOW,987,TRUE,
11002,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,3109,TRUE,
11002,1,1,5,5,practice,BLUE,0,Voice Response,RED,1053,TRUE,
11002,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,3299,TRUE,
11002,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,1420,TRUE,
11002,1,1,8,8,practice,YELLOW,0,Voice Response,RED,4061,TRUE,
11002,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,2852,TRUE,
11002,1,1,10,10,practice,RED,0,Voice Response,BLUE,1060,TRUE,
11002,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,1174,TRUE,
11002,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,24787,TRUE,
11002,1,1,13,13,Neutral,GREEN,0,Voice Response,XXXXX,1879,TRUE,
11002,1,1,14,14,Conflict,BLUE,0,Voice Response,YELLOW,925,TRUE,
11002,1,1,15,15,NegativePrime,YELLOW,0,Voice Response,GREEN,1620,TRUE,
11002,1,1,16,16,Neutral,BLUE,0,Voice Response,XXXXX,932,TRUE,
11002,1,1,17,17,Conflict,GREEN,0,Voice Response,YELLOW,1118,TRUE,
11002,1,1,18,18,Conflict,GREEN,0,Voice Response,RED,1977,TRUE,
11002,1,1,19,19,Conflict,YELLOW,0,Voice Response,BLUE,1622,TRUE,
11002,1,1,20,20,NegativePrime,BLUE,0,Voice Response,RED,933,TRUE,
11002,1,1,21,21,Conflict,YELLOW,0,Voice Response,GREEN,1858,TRUE,
11002,1,1,22,22,Conflict,RED,0,Voice Response,YELLOW,951,TRUE,
11002,1,1,23,23,Conflict,RED,0,Voice Response,BLUE,1304,TRUE,
11002,1,1,24,24,Conflict,GREEN,0,Voice Response,YELLOW,1248,TRUE,
11002,1,1,25,25,Neutral,GREEN,0,Voice Response,XXXXX,1177,TRUE,
11002,1,1,26,26,Conflict,YELLOW,0,Voice Response,GREEN,1557,TRUE,
11002,1,1,27,27,NegativePrime,GREEN,0,Voice Response,BLUE,1044,TRUE,
11002,1,1,28,28,Conflict,RED,0,Voice Response,GREEN,806,TRUE,
11002,1,1,29,29,Conflict,YELLOW,0,Voice Response,BLUE,1803,TRUE,
11002,1,1,30,30,Neutral,RED,0,Voice Response,XXXXX,856,TRUE,
11002,1,1,31,31,Conflict,RED,0,Voice Response,BLUE,865,TRUE,
11002,1,1,32,32,NegativePrime,BLUE,0,Voice Response,YELLOW,970,TRUE,
11002,1,1,33,33,Conflict,BLUE,0,Voice Response,RED,933,TRUE,
11002,1,1,34,34,Conflict,YELLOW,0,Voice Response,BLUE,1736,TRUE,
11002,1,1,35,35,Conflict,YELLOW,0,Voice Response,GREEN,1243,TRUE,
11002,1,1,36,36,Conflict,BLUE,0,Voice Response,RED,987,TRUE,
11002,1,1,37,37,Neutral,BLUE,0,Voice Response,XXXXX,986,TRUE,
11002,1,1,38,38,Conflict,RED,0,Voice Response,GREEN,861,TRUE,
11002,1,1,39,39,NegativePrime,GREEN,0,Voice Response,BLUE,1490,TRUE,
11002,1,1,40,40,Neutral,RED,0,Voice Response,XXXXX,1056,TRUE,
11002,1,1,41,41,Neutral,RED,0,Voice Response,XXXXX,1048,TRUE,
11002,1,1,42,42,Conflict,YELLOW,0,Voice Response,BLUE,1247,TRUE,
11002,1,1,43,43,NegativePrime,BLUE,0,Voice Response,GREEN,994,TRUE,
11002,1,1,44,44,Conflict,BLUE,0,Voice Response,RED,1112,TRUE,
11002,1,1,45,45,NegativePrime,RED,0,Voice Response,GREEN,1437,TRUE,
11002,1,1,46,46,Conflict,YELLOW,0,Voice Response,RED,1602,TRUE,
11002,1,1,47,47,NegativePrime,RED,0,Voice Response,GREEN,1049,TRUE,
11002,1,1,48,48,Conflict,BLUE,0,Voice Response,YELLOW,932,TRUE,
11002,1,1,49,49,NegativePrime,YELLOW,0,Voice Response,RED,1928,TRUE,
11002,1,1,50,50,Neutral,YELLOW,0,Voice Response,XXXXX,1808,TRUE,
11002,1,1,51,51,Conflict,YELLOW,0,Voice Response,GREEN,1308,TRUE,
11002,1,1,52,52,NegativePrime,GREEN,0,Voice Response,BLUE,1546,TRUE,
11002,1,1,53,53,Neutral,YELLOW,0,Voice Response,XXXXX,2235,TRUE,
