Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12222,A,1,1,1,instructions,None,57,SPACE,stroop3.txt,19860,TRUE,
12222,A,1,2,2,practice,GREEN,0,Voice Response,BLUE,1097,TRUE,
12222,A,1,3,3,practice,RED,0,Voice Response,YELLOW,925,TRUE,
12222,A,1,4,4,practice,YELLOW,0,Voice Response,GREEN,917,TRUE,
12222,A,1,5,5,practice,BLUE,0,Voice Response,RED,1032,TRUE,
12222,A,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,1031,TRUE,
12222,A,1,7,7,practice,BLUE,0,Voice Response,GREEN,1046,TRUE,
12222,A,1,8,8,practice,YELLOW,0,Voice Response,RED,923,TRUE,
12222,A,1,9,9,practice,GREEN,0,Voice Response,GREEN,977,TRUE,
12222,A,1,10,10,practice,RED,0,Voice Response,BLUE,981,TRUE,
12222,A,1,11,11,practice,BLUE,0,Voice Response,XXXXX,923,TRUE,
12222,A,1,12,12,instructions,None,57,SPACE,stroop4.txt,65885,TRUE,
12222,A,1,13,13,Neutral,RED,0,Voice Response,XXXXX,876,TRUE,
12222,A,1,14,14,Incongruent,BLUE,0,Voice Response,YELLOW,919,TRUE,
12222,A,1,15,15,WC,YELLOW,0,Voice Response,RED,972,TRUE,
12222,A,1,16,16,Neutral,GREEN,0,Voice Response,XXXXX,2287,TRUE,
12222,A,1,17,17,Incongruent,YELLOW,0,Voice Response,BLUE,856,TRUE,
12222,A,1,18,18,Neutral,RED,0,Voice Response,XXXXX,854,TRUE,
12222,A,1,19,19,Incongruent,YELLOW,0,Voice Response,BLUE,1280,TRUE,
12222,A,1,20,20,Double,BLUE,0,Voice Response,YELLOW,1056,TRUE,
12222,A,1,21,21,Incongruent,RED,0,Voice Response,GREEN,784,TRUE,
12222,A,1,22,22,Incongruent,YELLOW,0,Voice Response,BLUE,788,TRUE,
12222,A,1,23,23,WC,BLUE,0,Voice Response,GREEN,914,TRUE,
12222,A,1,24,24,Incongruent,RED,0,Voice Response,YELLOW,985,TRUE,
12222,A,1,25,25,Double,YELLOW,0,Voice Response,RED,911,TRUE,
12222,A,1,26,26,Neutral,GREEN,0,Voice Response,XXXXX,860,TRUE,
12222,A,1,27,27,Neutral,BLUE,0,Voice Response,XXXXX,848,TRUE,
