Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12287,1,1,1,1,instructions,None,57,SPACE,stroop3.txt,26299,TRUE,
12287,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,1558,TRUE,
12287,1,1,3,3,practice,RED,0,Voice Response,YELLOW,5362,TRUE,
12287,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,1167,TRUE,
12287,1,1,5,5,practice,BLUE,0,Voice Response,RED,1096,TRUE,
12287,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,1119,TRUE,
12287,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,1230,TRUE,
12287,1,1,8,8,practice,YELLOW,0,Voice Response,RED,1338,TRUE,
12287,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,1489,TRUE,
12287,1,1,10,10,practice,RED,0,Voice Response,BLUE,1294,TRUE,
12287,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,1169,TRUE,
12287,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,17167,TRUE,
12287,1,1,13,13,Neutral,BLUE,0,Voice Response,XXXXX,982,TRUE,
12287,1,1,14,14,Incongruent,YELLOW,0,Voice Response,RED,1154,TRUE,
12287,1,1,15,15,Incongruent,BLUE,0,Voice Response,GREEN,1232,TRUE,
12287,1,1,16,16,Incongruent,YELLOW,0,Voice Response,RED,1036,TRUE,
12287,1,1,17,17,CW,GREEN,0,Voice Response,YELLOW,1099,TRUE,
12287,1,1,18,18,Incongruent,BLUE,0,Voice Response,RED,1043,TRUE,
12287,1,1,19,19,Incongruent,GREEN,0,Voice Response,YELLOW,1045,TRUE,
12287,1,1,20,20,WC,YELLOW,0,Voice Response,BLUE,1108,TRUE,
12287,1,1,21,21,Incongruent,GREEN,0,Voice Response,RED,1043,TRUE,
12287,1,1,22,22,WC,RED,0,Voice Response,YELLOW,1055,TRUE,
12287,1,1,23,23,Neutral,GREEN,0,Voice Response,XXXXX,919,TRUE,
12287,1,1,24,24,Incongruent,RED,0,Voice Response,BLUE,1035,TRUE,
12287,1,1,25,25,WC,BLUE,0,Voice Response,GREEN,1415,TRUE,
12287,1,1,26,26,Incongruent,YELLOW,0,Voice Response,RED,1157,TRUE,
12287,1,1,27,27,Incongruent,BLUE,0,Voice Response,GREEN,1173,TRUE,
12287,1,1,28,28,Incongruent,YELLOW,0,Voice Response,RED,982,TRUE,
12287,1,1,29,29,CW,GREEN,0,Voice Response,YELLOW,1165,TRUE,
12287,1,1,30,30,Incongruent,RED,0,Voice Response,BLUE,973,TRUE,
12287,1,1,31,31,Incongruent,GREEN,0,Voice Response,YELLOW,1041,TRUE,
12287,1,1,32,32,Neutral,BLUE,0,Voice Response,XXXXX,860,TRUE,
12287,1,1,33,33,Incongruent,GREEN,0,Voice Response,YELLOW,923,TRUE,
12287,1,1,34,34,Neutral,BLUE,0,Voice Response,XXXXX,1040,TRUE,
12287,1,1,35,35,Incongruent,YELLOW,0,Voice Response,RED,1165,TRUE,
12287,1,1,36,36,Double,RED,0,Voice Response,YELLOW,1105,TRUE,
12287,1,1,37,37,Neutral,BLUE,0,Voice Response,XXXXX,846,TRUE,
12287,1,1,38,38,Incongruent,GREEN,0,Voice Response,RED,1119,TRUE,
12287,1,1,39,39,WC,RED,0,Voice Response,YELLOW,1098,TRUE,
12287,1,1,40,40,Incongruent,BLUE,0,Voice Response,GREEN,1033,TRUE,
12287,1,1,41,41,Double,GREEN,0,Voice Response,BLUE,1106,TRUE,
12287,1,1,42,42,Incongruent,YELLOW,0,Voice Response,RED,981,TRUE,
12287,1,1,43,43,Double,RED,0,Voice Response,YELLOW,1034,TRUE,
12287,1,1,44,44,Incongruent,BLUE,0,Voice Response,GREEN,1979,TRUE,
12287,1,1,45,45,Double,GREEN,0,Voice Response,BLUE,1216,TRUE,
12287,1,1,46,46,Neutral,YELLOW,0,Voice Response,XXXXX,1168,TRUE,
12287,1,1,47,47,Neutral,RED,0,Voice Response,XXXXX,914,TRUE,
12287,1,1,48,48,Neutral,BLUE,0,Voice Response,XXXXX,911,TRUE,
12287,1,1,49,49,Incongruent,RED,0,Voice Response,YELLOW,1858,TRUE,
12287,1,1,50,50,CW,GREEN,0,Voice Response,RED,1106,TRUE,
12287,1,1,51,51,Incongruent,BLUE,0,Voice Response,YELLOW,1113,TRUE,
