Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
12201,C,1,1,1,instructions,None,57,SPACE,stroop3.txt,36453,TRUE,
12201,C,1,2,2,practice,GREEN,0,Voice Response,BLUE,1352,TRUE,
12201,C,1,3,3,practice,RED,0,Voice Response,YELLOW,1156,TRUE,
12201,C,1,4,4,practice,YELLOW,0,Voice Response,GREEN,988,TRUE,
12201,C,1,5,5,practice,BLUE,0,Voice Response,RED,974,TRUE,
12201,C,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,1721,TRUE,
12201,C,1,7,7,practice,BLUE,0,Voice Response,GREEN,987,TRUE,
12201,C,1,8,8,practice,YELLOW,0,Voice Response,RED,974,TRUE,
12201,C,1,9,9,practice,GREEN,0,Voice Response,GREEN,724,TRUE,
12201,C,1,10,10,practice,RED,0,Voice Response,BLUE,916,TRUE,
12201,C,1,11,11,practice,BLUE,0,Voice Response,XXXXX,910,TRUE,
12201,C,1,12,12,instructions,None,57,SPACE,stroop4.txt,16950,TRUE,
12201,C,1,13,13,Neutral,YELLOW,0,Voice Response,XXXXX,895,TRUE,
12201,C,1,14,14,Incongruent,BLUE,0,Voice Response,GREEN,921,TRUE,
12201,C,1,15,15,CW,YELLOW,0,Voice Response,BLUE,903,TRUE,
12201,C,1,16,16,Incongruent,GREEN,0,Voice Response,RED,984,TRUE,
12201,C,1,17,17,Double,RED,0,Voice Response,GREEN,839,TRUE,
12201,C,1,18,18,Incongruent,BLUE,0,Voice Response,YELLOW,916,TRUE,
12201,C,1,19,19,Double,YELLOW,0,Voice Response,BLUE,787,TRUE,
12201,C,1,20,20,Incongruent,RED,0,Voice Response,GREEN,782,TRUE,
12201,C,1,21,21,WC,GREEN,0,Voice Response,YELLOW,846,TRUE,
12201,C,1,22,22,Incongruent,RED,0,Voice Response,BLUE,922,TRUE,
12201,C,1,23,23,Double,BLUE,0,Voice Response,RED,1108,TRUE,
12201,C,1,24,24,Neutral,YELLOW,0,Voice Response,XXXXX,847,TRUE,
12201,C,1,25,25,Neutral,BLUE,0,Voice Response,XXXXX,924,TRUE,
12201,C,1,26,26,Incongruent,YELLOW,0,Voice Response,RED,979,TRUE,
12201,C,1,27,27,Incongruent,BLUE,0,Voice Response,GREEN,860,TRUE,
12201,C,1,28,28,Incongruent,RED,0,Voice Response,YELLOW,919,TRUE,
12201,C,1,29,29,WC,YELLOW,0,Voice Response,BLUE,853,TRUE,
12201,C,1,30,30,Incongruent,RED,0,Voice Response,GREEN,840,TRUE,
12201,C,1,31,31,Double,GREEN,0,Voice Response,RED,794,TRUE,
12201,C,1,32,32,Incongruent,BLUE,0,Voice Response,YELLOW,738,TRUE,
12201,C,1,33,33,Incongruent,GREEN,0,Voice Response,RED,843,TRUE,
12201,C,1,34,34,Incongruent,YELLOW,0,Voice Response,BLUE,858,TRUE,
12201,C,1,35,35,Incongruent,RED,0,Voice Response,GREEN,796,TRUE,
12201,C,1,36,36,Neutral,BLUE,0,Voice Response,XXXXX,790,TRUE,
12201,C,1,37,37,Neutral,YELLOW,0,Voice Response,XXXXX,733,TRUE,
12201,C,1,38,38,Incongruent,GREEN,0,Voice Response,RED,716,TRUE,
12201,C,1,39,39,Incongruent,YELLOW,0,Voice Response,BLUE,1029,TRUE,
12201,C,1,40,40,WC,BLUE,0,Voice Response,GREEN,1116,TRUE,
12201,C,1,41,41,Incongruent,YELLOW,0,Voice Response,RED,909,TRUE,
12201,C,1,42,42,WC,RED,0,Voice Response,BLUE,788,TRUE,
12201,C,1,43,43,Incongruent,YELLOW,0,Voice Response,GREEN,792,TRUE,
12201,C,1,44,44,Incongruent,BLUE,0,Voice Response,RED,856,TRUE,
12201,C,1,45,45,CW,GREEN,0,Voice Response,BLUE,978,TRUE,
12201,C,1,46,46,Incongruent,YELLOW,0,Voice Response,RED,981,TRUE,
12201,C,1,47,47,CW,BLUE,0,Voice Response,YELLOW,802,TRUE,
12201,C,1,48,48,Incongruent,RED,0,Voice Response,GREEN,781,TRUE,
12201,C,1,49,49,CW,BLUE,0,Voice Response,RED,983,TRUE,
12201,C,1,50,50,Neutral,YELLOW,0,Voice Response,XXXXX,728,TRUE,
12201,C,1,51,51,Incongruent,RED,0,Voice Response,GREEN,850,TRUE,
12201,C,1,52,52,Neutral,BLUE,0,Voice Response,XXXXX,787,TRUE,
12201,C,1,53,53,Neutral,GREEN,0,Voice Response,XXXXX,791,TRUE,
12201,C,1,54,54,Incongruent,YELLOW,0,Voice Response,RED,846,TRUE,
12201,C,1,55,55,CW,GREEN,0,Voice Response,YELLOW,1238,TRUE,
12201,C,1,56,56,Incongruent,RED,0,Voice Response,BLUE,853,TRUE,
12201,C,1,57,57,WC,BLUE,0,Voice Response,GREEN,913,TRUE,
12201,C,1,58,58,Incongruent,RED,0,Voice Response,YELLOW,862,TRUE,
12201,C,1,59,59,Incongruent,BLUE,0,Voice Response,GREEN,922,TRUE,
12201,C,1,60,60,Double,GREEN,0,Voice Response,BLUE,843,TRUE,
12201,C,1,61,61,Neutral,RED,0,Voice Response,XXXXX,736,TRUE,
12201,C,1,62,62,Neutral,GREEN,0,Voice Response,XXXXX,780,TRUE,
12201,C,1,63,63,Block,None,57,SPACE,Press Spacebar,2878,TRUE,
12201,C,1,64,64,Neutral,BLUE,0,Voice Response,XXXXX,772,TRUE,
12201,C,1,65,65,Neutral,YELLOW,0,Voice Response,XXXXX,782,TRUE,
12201,C,1,66,66,Neutral,RED,0,Voice Response,XXXXX,786,TRUE,
12201,C,1,67,67,Neutral,BLUE,0,Voice Response,XXXXX,719,TRUE,
12201,C,1,68,68,Incongruent,RED,0,Voice Response,GREEN,730,TRUE,
12201,C,1,69,69,Incongruent,BLUE,0,Voice Response,YELLOW,790,TRUE,
12201,C,1,70,70,Incongruent,RED,0,Voice Response,GREEN,794,TRUE,
12201,C,1,71,71,WC,GREEN,0,Voice Response,YELLOW,799,TRUE,
12201,C,1,72,72,Incongruent,RED,0,Voice Response,BLUE,853,TRUE,
12201,C,1,73,73,Incongruent,YELLOW,0,Voice Response,GREEN,791,TRUE,
12201,C,1,74,74,Double,GREEN,0,Voice Response,YELLOW,796,TRUE,
12201,C,1,75,75,Neutral,RED,0,Voice Response,XXXXX,728,TRUE,
12201,C,1,76,76,Incongruent,GREEN,0,Voice Response,BLUE,921,TRUE,
12201,C,1,77,77,Incongruent,RED,0,Voice Response,YELLOW,721,TRUE,
12201,C,1,78,78,Double,YELLOW,0,Voice Response,RED,1167,TRUE,
12201,C,1,79,79,Incongruent,GREEN,0,Voice Response,BLUE,850,TRUE,
12201,C,1,80,80,Neutral,RED,0,Voice Response,XXXXX,717,TRUE,
12201,C,1,81,81,Incongruent,YELLOW,0,Voice Response,GREEN,848,TRUE,
