Subj,Cond,Block,Trial,Order,!type,!color,Resp,Name,Stim,RT,Correct,
20221,1,1,1,1,instructions,None,57,SPACE,stroop3.txt,41325,TRUE,
20221,1,1,2,2,practice,GREEN,0,Voice Response,BLUE,1009,TRUE,
20221,1,1,3,3,practice,RED,0,Voice Response,YELLOW,925,TRUE,
20221,1,1,4,4,practice,YELLOW,0,Voice Response,GREEN,855,TRUE,
20221,1,1,5,5,practice,BLUE,0,Voice Response,RED,982,TRUE,
20221,1,1,6,6,practice,YELLOW,0,Voice Response,XXXXX,741,TRUE,
20221,1,1,7,7,practice,BLUE,0,Voice Response,GREEN,925,TRUE,
20221,1,1,8,8,practice,YELLOW,0,Voice Response,RED,675,TRUE,
20221,1,1,9,9,practice,GREEN,0,Voice Response,GREEN,855,TRUE,
20221,1,1,10,10,practice,RED,0,Voice Response,BLUE,732,TRUE,
20221,1,1,11,11,practice,BLUE,0,Voice Response,XXXXX,743,TRUE,
20221,1,1,12,12,instructions,None,57,SPACE,stroop4.txt,47498,TRUE,
20221,1,1,13,13,Neutral,BLUE,0,Voice Response,XXXXX,852,TRUE,
20221,1,1,14,14,Neutral,YELLOW,0,Voice Response,XXXXX,745,TRUE,
20221,1,1,15,15,Neutral,RED,0,Voice Response,XXXXX,739,TRUE,
20221,1,1,16,16,Neutral,BLUE,0,Voice Response,XXXXX,732,TRUE,
20221,1,1,17,17,Incongruent,RED,0,Voice Response,GREEN,802,TRUE,
20221,1,1,18,18,Incongruent,BLUE,0,Voice Response,YELLOW,746,TRUE,
20221,1,1,19,19,Incongruent,RED,0,Voice Response,GREEN,810,TRUE,
20221,1,1,20,20,WC,GREEN,0,Voice Response,YELLOW,796,TRUE,
20221,1,1,21,21,Incongruent,RED,0,Voice Response,BLUE,740,TRUE,
20221,1,1,22,22,Incongruent,YELLOW,0,Voice Response,GREEN,675,TRUE,
20221,1,1,23,23,Double,GREEN,0,Voice Response,YELLOW,734,TRUE,
20221,1,1,24,24,Neutral,RED,0,Voice Response,XXXXX,804,TRUE,
20221,1,1,25,25,Incongruent,GREEN,0,Voice Response,BLUE,791,TRUE,
20221,1,1,26,26,Incongruent,RED,0,Voice Response,YELLOW,925,TRUE,
20221,1,1,27,27,Double,YELLOW,0,Voice Response,RED,795,TRUE,
20221,1,1,28,28,Incongruent,GREEN,0,Voice Response,BLUE,798,TRUE,
20221,1,1,29,29,Neutral,RED,0,Voice Response,XXXXX,682,TRUE,
20221,1,1,30,30,Incongruent,YELLOW,0,Voice Response,GREEN,682,TRUE,
20221,1,1,31,31,WC,GREEN,0,Voice Response,BLUE,992,TRUE,
